Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,Home Team Initials,Away Team Initials
2014.0,29 Jun 2014 - 17:00 ,Round of 16,Costa Rica,1.0,1.0,Greece,41242.0,0.0,0.0,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),CRC,GRE
2014.0,01 Jul 2014 - 13:00 ,Round of 16,Argentina,1.0,0.0,Switzerland,63255.0,0.0,0.0,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),ARG,SUI
2014.0,01 Jul 2014 - 17:00 ,Round of 16,Belgium,2.0,1.0,USA,51227.0,0.0,0.0,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),BEL,USA
2014.0,28 Jun 2014 - 13:00 ,Round of 16,Brazil,1.0,1.0,Chile,57714.0,0.0,0.0,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),BRA,CHI
2014.0,28 Jun 2014 - 17:00 ,Round of 16,Colombia,2.0,0.0,Uruguay,73804.0,1.0,0.0,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),COL,URU
2014.0,29 Jun 2014 - 13:00 ,Round of 16,Netherlands,2.0,1.0,Mexico,58817.0,0.0,0.0,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),NED,MEX
2014.0,29 Jun 2014 - 17:00 ,Round of 16,Costa Rica,1.0,1.0,Greece,41242.0,0.0,0.0,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),CRC,GRE
2014.0,30 Jun 2014 - 13:00 ,Round of 16,France,2.0,0.0,Nigeria,67882.0,0.0,0.0,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),FRA,NGA
2014.0,01 Jul 2014 - 13:00 ,Round of 16,Argentina,1.0,0.0,Switzerland,63255.0,0.0,0.0,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),ARG,SUI
2014.0,01 Jul 2014 - 17:00 ,Round of 16,Belgium,2.0,1.0,USA,51227.0,0.0,0.0,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),BEL,USA
2014.0,04 Jul 2014 - 13:00 ,Quarter-finals,France,0.0,1.0,Germany,74240.0,0.0,1.0,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),FRA,GER
2014.0,04 Jul 2014 - 17:00 ,Quarter-finals,Brazil,2.0,1.0,Colombia,60342.0,1.0,0.0,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),BRA,COL
2014.0,05 Jul 2014 - 13:00 ,Quarter-finals,Argentina,1.0,0.0,Belgium,68551.0,1.0,0.0,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),ARG,BEL
2014.0,05 Jul 2014 - 17:00 ,Quarter-finals,Netherlands,0.0,0.0,Costa Rica,51179.0,0.0,0.0,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),NED,CRC
2014.0,08 Jul 2014 - 17:00 ,Semi-finals,Brazil,1.0,7.0,Germany,58141.0,0.0,5.0,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),BRA,GER
2014.0,09 Jul 2014 - 17:00 ,Semi-finals,Netherlands,0.0,0.0,Argentina,63267.0,0.0,0.0,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),NED,ARG
2014.0,12 Jul 2014 - 17:00 ,Play-off for third place,Brazil,0.0,3.0,Netherlands,68034.0,0.0,2.0,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),BRA,NED
2014.0,13 Jul 2014 - 16:00 ,Final,Germany,1.0,0.0,Argentina,74738.0,0.0,0.0,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),GER,ARG
