Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,Home Team Initials,Away Team Initials,Home Coach Name,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Coach Name,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home Player 1 Stats,Home Player 2 Stats,Home Player 3 Stats,Home Player 4 Stats,Home Player 5 Stats,Home Player 6 Stats,Home Player 7 Stats,Home Player 8 Stats,Home Player 9 Stats,Home Player 10 Stats,Home Player 11 Stats,Away Player 1 Stats,Away Player 2 Stats,Away Player 3 Stats,Away Player 4 Stats,Away Player 5 Stats,Away Player 6 Stats,Away Player 7 Stats,Away Player 8 Stats,Away Player 9 Stats,Away Player 10 Stats,Away Player 11 Stats
2010.0,23 Jun 2010 - 20:30 ,Group D,Australia,2.0,1.0,Serbia,37836.0,0.0,0.0,LARRIONDA Jorge (URU),FANDINO Pablo (URU),ESPINOSA Mauricio (URU),AUS,SRB,POSTECOGLOU Ange (AUS),NEILL,JEDINAK,NEILL,POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),POSTECOGLOU Ange (AUS),JEDINAK,NEILL,coach,coach,coach,coach,coach,coach,coach,coach,coach,coach,coach,coach,68,65,68,75,75,75,75,75,75,65,68,65,65,65,65,65,65,65,65,65,65,65
2010.0,24 Jun 2010 - 16:00 ,Group F,Slovakia,3.0,2.0,Italy,53412.0,1.0,0.0,WEBB Howard (ENG),Darren CANN (ENG),MULLARKEY Michael (ENG),SVK,ITA,WEISS Vladimir (SVK),MUCHA,HAMSIK,MUCHA,HAMSIK,MUCHA,WEISS Vladimir (SVK),MUCHA,MUCHA,MUCHA,MUCHA,HAMSIK,LIPPI Marcello (ITA),Giuseppe MEAZZA,Riccardo CARAPELLESE,Giampiero BONIPERTI,Gaetano SCIREA,PAGLIUCA,Franco BARESI,MALDINI,Paolo MALDINI,BUFFON,MARCHETTI,CANNAVARO,70,65,70,65,70,58,70,70,70,70,65,65,65,65,65,65,68,65,66,89,80,75
2010.0,24 Jun 2010 - 16:00 ,Group F,Paraguay,0.0,0.0,New Zealand,34850.0,0.0,0.0,NISHIMURA Yuichi (JPN),SAGARA Toru (JPN),JEONG Hae Sang (KOR),PAR,NZL,RUIZ LEITES Anibal (URU),Luis VARGAS PENA,Cesar LOPEZ FRETES,Juan AGUERO,CHILAVERT,TAVARELLI,VILLAR,GAMARRA,Juan AGUERO,VILLAR,CHILAVERT,Luis VARGAS PENA,HERBERT Ricki (NZL),Steve SUMNER,NELSEN,Steve SUMNER,Steve SUMNER,Steve SUMNER,Steve SUMNER,HERBERT Ricki (NZL),Steve SUMNER,HERBERT Ricki (NZL),NELSEN,Steve SUMNER,79,76,84,65,65,74,72,84,74,65,79,68,65,68,68,68,68,65,68,65,65,68
2010.0,24 Jun 2010 - 20:30 ,Group E,Denmark,1.0,3.0,Japan,27967.0,0.0,2.0,DAMON Jerome (RSA),NTAGUNGIRA Celestin (RWA),MOLEFE Enock (RSA),DEN,JPN,OLSEN Morten (DEN),Peter SCHMEICHEL,LAUDRUP M.,HEINTZE,S�RENSEN,TOMASSON,HEINTZE,Peter SCHMEICHEL,S�RENSEN,TOMASSON,Peter SCHMEICHEL,S�RENSEN,OKADA Takeshi (JPN),Masami IHARA,MORIOKA,MIYAMOTO,KAWAGUCHI,HASEBE,Masami IHARA,OKADA Takeshi (JPN),OKADA Takeshi (JPN),OKADA Takeshi (JPN),OKADA Takeshi (JPN),OKADA Takeshi (JPN),83,92,65,65,65,65,83,65,65,83,65,64,68,65,54,77,64,65,65,65,65,65
2010.0,24 Jun 2010 - 20:30 ,Group E,Cameroon,1.0,2.0,Netherlands,63093.0,0.0,1.0,POZO Pablo (CHI),BASUALTO Patricio (CHI),MONDRIA Francisco (CHI),CMR,NED,Paul LE GUEN (FRA),Thomas NKONO,Stephen TATAW,SONGO'O,Francois OMAM-BIYIK,SONG,ETO'O,SONG,Stephen TATAW,SONGO'O,Stephen TATAW,Paul LE GUEN (FRA),Louis VAN GAAL (NED),Johan CRUYFF,Piet SCHRIJVERS,Jan JONGBLOED,Ruud KROL,Ruud GULLIT,V. BRONCKHORST,STEKELENBURG,V. PERSIE,CILLESSEN,VORM,KRUL,80,74,62,53,77,81,77,74,62,74,91,74,75,85,71,71,85,75,85,81,79,77
2010.0,25 Jun 2010 - 16:00 ,Group G,Portugal,0.0,0.0,Brazil,62712.0,0.0,0.0,ARCHUNDIA Benito (MEX),VERGARA Hector (CAN),TORRENTERA Marvin (MEX),POR,BRA,PAULO BENTO (POR),MARIO COLUNA,GOMES,FIGO,RICARDO,PAULETA,RONALDO,BETO,EDUARDO,RONALDO,EDUARDO,EDUARDO,SCOLARI Luiz Felipe (BRA),PREGUINHO,MARINHO PERES,SOCRATES,EDINHO,RAI,DUNGA,CAFU,DIDA,R. CENI,T SILVA,JULIO CESAR,81,82,67,80,65,94,76,76,94,76,76,65,78,65,73,77,65,65,80,91,94,76
2010.0,25 Jun 2010 - 16:00 ,Group G,Korea DPR,0.0,3.0,C�te d'Ivoire,34763.0,0.0,2.0,Alberto UNDIANO MALLENCO (ESP),MARTINEZ Fermin (ESP),YUSTE Juan (ESP),PRK,CIV,KIM Jong Hun (PRK),PAK Seung Zin,H. YONG JO,KIM Jong Hun (PRK),H. YONG JO,KIM Jong Hun (PRK),H. YONG JO,KIM Jong Hun (PRK),H. YONG JO,KIM Jong Hun (PRK),KIM Jong Hun (PRK),KIM Jong Hun (PRK),MICHEL Henri (FRA),DROGBA,DOMORAUD,DOMORAUD,DROGBA,MICHEL Henri (FRA),DROGBA,DROGBA,DROGBA,DROGBA,MICHEL Henri (FRA),DROGBA,81,88,81,88,81,88,81,88,81,81,81,65,67,67,65,77,65,65,65,65,77,65
2010.0,25 Jun 2010 - 20:30 ,Group H,Chile,1.0,2.0,Spain,41958.0,0.0,2.0,RODRIGUEZ Marco (MEX),CAMARGO Jose Luis (MEX),MORIN Alberto (MEX),CHI,ESP,ACOSTA Nelson (URU),Guillermo SUBIABRE,Jorge TORO,Francisco VALDES,Ivan ZAMORANO,Nelson TAPIA,Jorge TORO,Nelson TAPIA,Jorge TORO,Guillermo SUBIABRE,Nelson TAPIA,Nelson TAPIA,DEL BOSQUE Vicente (ESP),ZARRA,Juan Manuel ASENSI,Jose Antonio CAMACHO,Emilio BUTRAGUENO,NADAL,ZUBIZARRETA,HIERRO,RAUL,I. CASILLAS,RAMOS,NADAL,70,78,75,82,72,78,72,78,70,72,72,65,84,81,74,64,65,65,74,87,90,64
2010.0,25 Jun 2010 - 20:30 ,Group H,Switzerland,0.0,0.0,Honduras,28042.0,0.0,0.0,BALDASSI Hector (ARG),CASAS Ricardo (ARG),MAIDANA Hernan (ARG),SUI,HON,HITZFELD Ottmar (GER),Marco PASCOLO,VOGEL,BENAGLIO,FREI,VOGEL,HITZFELD Ottmar (GER),VOGEL,HITZFELD Ottmar (GER),HITZFELD Ottmar (GER),Marco PASCOLO,Marco PASCOLO,SUAREZ Luis (COL),Ramon MARADIAGA,GUEVARRA,VALLADARES,VALLADARES,VALLADARES,VALLADARES,GUEVARRA,VALLADARES,VALLADARES,VALLADARES,GUEVARRA,84,65,77,76,65,65,65,65,65,84,84,71,65,65,65,65,65,65,65,65,65,65
2010.0,26 Jun 2010 - 16:00 ,Round of 16,Uruguay,2.0,1.0,Korea Republic,30597.0,1.0,0.0,Wolfgang STARK (GER),SALVER Jan-Hendrik (GER),PICKEL Mike (GER),URU,KOR,TABAREZ Oscar (URU),Horacio TROCHE,Pedro ROCHA,Juan MASNIK,Fernando ALVEZ,Enzo FRANCESCOLI,F.CARINI,P.MONTERO,LUGANO,FORLAN,D. LUGANO,F. MUSLERA,HONG Myungbo (KOR),PARK Chang Sun,CHOI In Young,LEE Woonjae,KIM B. J.,YOO S. C.,M B HONG,JISUNG,J C KOO,KIM B. J.,CHOI In Young,JISUNG,65,84,84,81,71,65,65,65,65,88,86,78,89,77,88,89,93,65,94,88,89,65
