Team Initials,Coach Name,Player Name
CMR,MICHEL Henri (FRA),SONGO'O
MAR,BLINDA Abdellah (MAR),TAHAR
BEL,VAN HIMST Paul (BEL),SCIFO
NGA,WESTERHOF Clemens (NED),Stephen KESHI
GRE,PANAGOULIAS Alkis (GRE),Tassos MITROPOULOS
ARG,BASILE Alfio (ARG),Oscar RUGGERI
SUI,Roy HODGSON (ENG),Marco PASCOLO
SWE,SVENSSON Tommy (SWE),Jonas THERN
KSA,SOLARI Jorge (ARG),Mohamed ABDELJAWAD
NED,Dick ADVOCAAT (NED),Ronald KOEMAN
ITA,SACCHI Arrigo (ITA),MALDINI
BRA,PARREIRA Carlos Alberto (BRA),DUNGA
BUL,PENEV Dimitar (BUL),Borislav MIHAYLOV
CMR,LE ROY Claude (FRA),Francois OMAM-BIYIK
BUL,BONEV Hristo (BUL),Trifon IVANOV
KSA,PARREIRA Carlos Alberto (BRA),F. AMIN
FRA,JACQUET Aime (FRA),Didier DESCHAMPS
ESP,CLEMENTE Javier (ESP),ZUBIZARRETA
NGA,MILUTINOVIC Bora (YUG),UCHE
MEX,LAPUENTE Manuel (MEX),Alberto GARCIA ASPE
JPN,OKADA Takeshi (JPN),Masami IHARA
YUG,SANTRAC Slobodan (SRB),Dragan STOJKOVIC
ENG,HODDLE Glenn (ENG),Alan SHEARER
ROU,IORDANESCU Anghel (ROU),Gheorghe HAGI
GER,VOGTS Berti (GER),Juergen KLINSMANN
CHI,ACOSTA Nelson (URU),Ivan ZAMORANO
DEN,JOHANSSON Bo (SWE),Peter SCHMEICHEL
DEN,JOHANSSON Bo (SWE),LAUDRUP M.
RSA,TROUSSIER Philippe (FRA),Lucas RADEBE
CRO,BLAZEVIC Miroslav (BIH),Davor SUKER
BEL,LEEKENS Georges (BEL),Franky VAN DER ELST
ARG,PASSARELLA Daniel (ARG),Diego SIMEONE
USA,SAMPSON Steve (USA),Thomas DOOLEY
ITA,MALDINI Cesare (ITA),Paolo MALDINI
KOR,KIM Pyung Seok (KOR),KIM B. J.
KOR,KIM Pyung Seok (KOR),YOO S. C.
BEL,LEEKENS Georges (BEL),Enzo SCIFO
CRO,BLAZEVIC Miroslav (BIH),Zvonimir BOBAN
CHI,ACOSTA Nelson (URU),Nelson TAPIA
PAR,CARPEGIANI (BRA),CHILAVERT
ARG,PASSARELLA Daniel (ARG),Carlos ROA
ENG,HODDLE Glenn (ENG),David SEAMAN
SEN,METSU Bruno (FRA),CISSE
DEN,OLSEN Morten (DEN),HEINTZE
ARG,BIELSA Marcelo (ARG),VERON
PAR,MALDINI Cesare (ITA),TAVARELLI
ENG,Sven-G�ran ERIKSSON (SWE),BECKHAM
ESP,CAMACHO Jose Antonio (ESP),HIERRO
ECU,GOMEZ Hernan (COL),AGUINAGA
CRO,JOZIC Mirko (CRO),SUKER
JPN,TROUSSIER Philippe (FRA),MORIOKA
BEL,WASEIGE Robert (BEL),WILMOTS
TUN,SOUAYAH Ammar (TUN),SELLIMI
USA,ARENA Bruce (USA),STEWART
IRL,MC CARTHY Mick (IRL),STAUNTON
SWE,SODERBERG Tommy (SWE),MJALLBY
SVN,KATANEC Srecko (SVN),CEH A.
RSA,SONO Jomo (RSA),RADEBE
CHN,MILUTINOVIC Bora (YUG),M Y MA
TUR,GUNES Senol (TUR),HAKAN SUKUR
JPN,TROUSSIER Philippe (FRA),MIYAMOTO
ECU,GOMEZ Hernan (COL),CEVALLOS
KOR,HIDDINK Guus (NED),M B HONG
URU,PUA Victor (URU),F.CARINI
URU,PUA Victor (URU),P.MONTERO
GER,VOELLER Rudi (GER),KAHN
CMR,SCHAEFER Winni (GER),SONG
ARG,BIELSA Marcelo (ARG),BATISTUTA
BRA,SCOLARI Luiz Felipe (BRA),CAFU
TUR,GUNES Senol (TUR),RUSTU 
TUR,GUNES Senol (TUR),OMER
MEX,Javier AGUIRRE (MEX),O. PEREZ
TUN,SOUAYAH Ammar (TUN),BADRA
POL,ENGEL Jerzy (POL),MAJDAN
USA,ARENA Bruce (USA),FRIEDEL
MEX,Javier AGUIRRE (MEX),R. MARQUEZ
USA,ARENA Bruce (USA),REYNA
GER,J�rgen KLINSMANN (GER),SCHNEIDER
ECU,SUAREZ Luis (COL),I. HURTADO
PAR,RUIZ LEITES Anibal (URU),VILLAR
PAR,RUIZ LEITES Anibal (URU),GAMARRA
TRI,BEENHAKKER Leo (NED),YORKE
CIV,MICHEL Henri (FRA),DROGBA
SCG,PETKOVIC Ilija (SCG),MILOSEVIC
ANG,GONCALVES Luis (ANG),AKW�
TOG,PFISTER Otto (GER),ABALO
FRA,DOMENECH Raymond (FRA),ZIDANE
CRO,KRANJCAR Zlatko (CRO),N. KOVAC
TUN,LEMERRE Roger (FRA),BOUAZIZI
POL,JANAS Pawel (POL),BORUC
GER,J�rgen KLINSMANN (GER),BALLACK
ECU,SUAREZ Luis (COL),C. MORA
CRC,GUIMARAES Alexandre (CRC),MARIN L.
TRI,BEENHAKKER Leo (NED),HISLOP
ANG,GONCALVES Luis (ANG),JO�O RICARDO
IRN,IVANKOVIC Branko (CRO),Y.GOLMOHAMMADI
POR,SCOLARI Luiz Felipe (BRA),FIGO
CZE,BRUCKNER Karel (CZE),GALASEK
JPN,ZICO (BRA),KAWAGUCHI
SUI,KUHN Koebi (SUI),VOGEL
UKR,BLOKHIN Oleg (UKR),SHEVCHENKO
ECU,SUAREZ Luis (COL),M. AYOVI
POL,JANAS Pawel (POL),BAK
CIV,MICHEL Henri (FRA),DOMORAUD
GHA,DUJKOVIC Ratomir (SRB),S. APPIAH
BRA,PARREIRA Carlos Alberto (BRA),DIDA
BRA,PARREIRA Carlos Alberto (BRA),R. CENI
CRO,KRANJCAR Zlatko (CRO),PLETIKOSA
ESP,ARAGONES Luis (ESP),RAUL
KSA,MARCOS PAQUETA (BRA),ALJABER 
FRA,DOMENECH Raymond (FRA),VIEIRA
ARG,Jos� P�KERMAN (ARG),SORIN
ENG,Sven-G�ran ERIKSSON (SWE),ROBINSON
POR,SCOLARI Luiz Felipe (BRA),RICARDO
ARG,Jos� P�KERMAN (ARG),ABBONDANZIERI
POR,SCOLARI Luiz Felipe (BRA),PAULETA
MEX,Javier AGUIRRE (MEX),G TORRADO
URU,TABAREZ Oscar (URU),LUGANO
FRA,DOMENECH Raymond (FRA),EVRA
